Barèmes;;;;;;;
2026;;;;;;;
Montant du diviseur;;0;;;;;
;;;;;;;
;;;;;;;
Canton-Id;Canton;Type d'impôt;Sujet fiscal;Autorité fiscale;Pour les prochains CHF;En plus %;
13;BL;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;1 282 692;235687.5410 + 0.1862 * ($wert$ - 1282692);
13;BL;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;0;;
13;BL;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;8 366;0.49 * $wert$ / 100;
13;BL;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;16 731;-0.827548* $wert$ + 0.089722* $wert$ * (log $wert$ - 1) + 830.223746;
13;BL;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;44 615;-0.328507* $wert$ + 0.043108 * $wert$ * (log $wert$ - 1) + (-1249.444454);
13;BL;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;111 538;0.051153* $wert$ + 0.010441 * $wert$ * (log $wert$ - 1) + (-4893.077017);
13;BL;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;1 282 692;235687.5410 + 0.1862 * ($wert$ - 1282692);
;;;;;;;
;;;;;;;
Barèmes;;;;;;;
2025;;;;;;;
Montant du diviseur;;0;;;;;
;;;;;;;
;;;;;;;
Canton-Id;Canton;Type d'impôt;Sujet fiscal;Autorité fiscale;Pour les prochains CHF;En plus %;
2;BE;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;3 300;1,95;
2;BE;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;3 300;2,9;
2;BE;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;9 800;3,6;
2;BE;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;16 000;4,15;
2;BE;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;26 700;4,45;
2;BE;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;26 700;5;
2;BE;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;26 700;5,6;
2;BE;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;26 700;5,75;
2;BE;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;26 700;5,9;
2;BE;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;26 700;6,05;
2;BE;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;37 400;6,15;
2;BE;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;86 400;6,3;
2;BE;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;151 200;6,4;
2;BE;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;999 999 999;6,5;
2;BE;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;3 300;1,55;
2;BE;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;3 300;1,65;
2;BE;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;9 800;2,85;
2;BE;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;16 000;3,65;
2;BE;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;26 700;3,8;
2;BE;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;26 700;4,3;
2;BE;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;26 700;4,85;
2;BE;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;26 700;5,2;
2;BE;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;41 400;5,7;
2;BE;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;54 000;5,85;
2;BE;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;54 000;5,95;
2;BE;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;54 000;6,2;
2;BE;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;140 400;6,4;
2;BE;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;999 999 999;6,5;
;;;;;;;
;;;;;;;
Barèmes;;;;;;;
2025;;;;;;;
Montant du diviseur;;0;;;;;
;;;;;;;
;;;;;;;
Canton-Id;Canton;Type d'impôt;Sujet fiscal;Autorité fiscale;Revenu imposable Confédération;En plus %;Montant de base CHF
-;Confédération;Impôt sur le revenu;Personne vivant seule, sans enfant;Impôt fédéral;0;0;0
-;Confédération;Impôt sur le revenu;Personne vivant seule, sans enfant;Impôt fédéral;15 200;0,77;0
-;Confédération;Impôt sur le revenu;Personne vivant seule, sans enfant;Impôt fédéral;33 200;0,88;139
-;Confédération;Impôt sur le revenu;Personne vivant seule, sans enfant;Impôt fédéral;43 500;2,64;229
-;Confédération;Impôt sur le revenu;Personne vivant seule, sans enfant;Impôt fédéral;58 000;2,97;612
-;Confédération;Impôt sur le revenu;Personne vivant seule, sans enfant;Impôt fédéral;76 100;5,94;1 150
-;Confédération;Impôt sur le revenu;Personne vivant seule, sans enfant;Impôt fédéral;82 000;6,6;1 500
-;Confédération;Impôt sur le revenu;Personne vivant seule, sans enfant;Impôt fédéral;108 800;8,8;3 269
-;Confédération;Impôt sur le revenu;Personne vivant seule, sans enfant;Impôt fédéral;141 500;11;6 146
-;Confédération;Impôt sur le revenu;Personne vivant seule, sans enfant;Impôt fédéral;184 900;13,2;10 920
-;Confédération;Impôt sur le revenu;Personne vivant seule, sans enfant;Impôt fédéral;793 300;13,2;91 229
-;Confédération;Impôt sur le revenu;Personne vivant seule, sans enfant;Impôt fédéral;793 400;11,5;91 241
-;Confédération;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Impôt fédéral;0;0;0
-;Confédération;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Impôt fédéral;29 700;1;0
-;Confédération;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Impôt fédéral;53 400;2;237
-;Confédération;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Impôt fédéral;61 300;3;395
-;Confédération;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Impôt fédéral;79 100;4;929
-;Confédération;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Impôt fédéral;94 900;5;1 561
-;Confédération;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Impôt fédéral;108 600;6;2 246
-;Confédération;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Impôt fédéral;120 500;7;2 960
-;Confédération;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Impôt fédéral;130 500;8;3 660
-;Confédération;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Impôt fédéral;138 300;9;4 284
-;Confédération;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Impôt fédéral;144 200;10;4 815
-;Confédération;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Impôt fédéral;148 200;11;5 215
-;Confédération;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Impôt fédéral;150 300;12;5 446
-;Confédération;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Impôt fédéral;152 300;13;5 686
-;Confédération;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Impôt fédéral;940 800;13;108 191
-;Confédération;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Impôt fédéral;940 900;11,5;108 204
;;;;;;;
;;;;;;;
Barèmes;;;;;;;
2025;;;;;;;
Montant du diviseur;;2;;;;;
;;;;;;;
;;;;;;;
Canton-Id;Canton;Type d'impôt;Sujet fiscal;Autorité fiscale;Revenu imposable Confédération;En plus %;Montant de base CHF
10;FR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;0;0;0
10;FR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;5 199;0;0
10;FR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;5 200;1;0
10;FR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;17 500;4,17;0
10;FR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;31 400;6,21;0
10;FR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;48 300;8,04;0
10;FR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;63 800;9,1;0
10;FR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;77 600;9,98;0
10;FR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;102 100;10,87;0
10;FR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;128 700;11,72;0
10;FR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;156 000;12,54;0
10;FR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;181 000;13,11;0
10;FR;Impôt sur le revenu;Personne vivant seule, sans enfant;Canton;207 100;13,5;0
10;FR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;0;0;0
10;FR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;5 199;0;0
10;FR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;5 200;1;0
10;FR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;10 500;1;0
10;FR;Impôt sur le revenu;Personne mariée / vivant seule, avec enfant;Canton;35 000;4,17;0
